Record,Data
Output Report,06 00 7d 00 0d 00 98 59 46 00 f0 32 fa 08 b9 4f f0 01 0a 64 1e 08 f1 04 08 d7 d1 87 f8 00 a0 df f8 c8 03 c7 f8 04 90 00 68 40 f2 52 41 c0 f3 0b 00 88 42 78 80 03 d1 df f8 b4 03 01 88 13 e0 40 f2 49 42 90 42 03 d1 df f8 a8 13 09 88 0b e0 40 f2 51 43 98 42 37 d1 df f8 98 03 01 88 6a 69 93 00 5c bf 48 02 b8 60 28 68 f8 60 28 69 38 61 00 28 05 d5 df f8 80 23 df f8 80 33 6a 60 6b 60 02 98 f3 22 ea 60 00 23 2b 60 4f f4 00 64 2c 60 d7 f8 04 c0 c0 07 4f ea 0c 2c c5 f8 10 c0 43 d5 e9 68 ca 03 fc d4 28 69 40 f0 04 00 28 61 b9 68 19 b1 28 69 40 f4 00 40 28 61 2a 69 42 f4 80 32 2a 61 78 78 ff 22 11 e0 df f8 34 03 df f8 34 13 c0 68 00 f0 dc f9 23 e0 40 b1 33 68 74 68 03 f0 7f 03 04 f0 7f 04 a3 42 38 bf 32 60 2b 69 dc 03 f2 d4 28 69 20 f0 04 00 28 61 19 b1 28 69 20 f4 00 40 28 61 e9 68 c8 06 0c d5 bc 4c 0f f2 38 31 e0 68 00 f0 bc f9 e0 68 0f f2 3c 31 00 f0 c3 f9 04 20 0e e0 03 20 0c e0 b8 68 50 b1 09 0a b3 48 4a 1e c0 68 d2 b2 13 46 b3 49 00 f0 c4 f9 4f f4 80 30 03 b0 bd e8 f0 8f 00 00 2d e9 f0 41 ae 4d c0 f3 14 04 68 68 0c 19 00 2a 04 f1 00 64 40 f0 01 00 68 60 00 f0 88 80 ff 21 df f8 78 c2 df f8 70 e2 de f8 04 00 18 b1 02 28 54 d0 36 d3 60 e0 1e 78 26 70 bf f3 4f 8f 2f 68 f8 03 fc d4 5e 78 66 70 bf f3 4f 8f 28 68 c6 03 fc d4 9f 78 a7 70 bf f3 4f 8f 28 68 c6 03 fc d4 df 78 e7 70 bf f3 4f 8f 28 68 c6 03 fc d4 1f 79 27 71 bf f3 4f 8f 28 68 c6 03 fc d4 5f 79 67 71 bf f3 4f 8f 28 68 c6 03 fc d4 9f 79 a7 71 bf f3 4f 8f 28 68 c6 03 fc d4 df 79 08 33 e7 71 08 34 2e e0 18 88 24 f8 02 0b bf f3 4f 8f 2e 68 f7 03
Input Report,06 7d 00 01
Output Report,05 00 65 0d fc d4 58 88 0d 24 f8 02 0b 0d bf f3 4f 8f 0d 2e 68 f7 03 0d fc d4 98 88 0d 24 f8 02 0b 0d bf f3 4f 8f 0d 2e 68 f7 03 0d fc d4 d8 88 0d 08 33 24 f8 0d 02 0b 11 e0 0d 1e 68 44 f8 0d 04 6b bf f3 0d 4f 8f 28 68 0d c7 03 fc d4 0d d3 f8 04 80 0d 08 33 44 f8 0d 04 8b 03 e0 0d f3 e8 02 67 0d e4 e8 02 67 0d bf f3 4f 8f 0d 9e f8 01 00 0d 58 b1 dc f8 0d 00 00 dc f8 0d 04 60 00 f0 0d 7f 00 06 f0 0d 7f 06 b0 42 0d 01 d2 cc f8 0d 00 10 28 68 0d c6 03 fc d4 0d 08 3a 7f f4 05 00 04 01 20 0d 7d af 68 68 0d 40 08 40 00 0d 68 60 2a 68 0d 12 f0 f0 0f 0d 0e d0 5d 4c 0d 6a a1 e0 68 0d 00 f0 fe f8 0d 2a 68 d1 06 0d 03 d5 e0 68 0d 6e a1 00 f0 0d 03 f9 04 20 0d bd e8 f0 81 0d 00 20 bd e8 0d f0 81 00 00 0d f8 b5 4c 4d 0d 40 f2 52 46 0d 6a 88 c0 f3 0d 14 03 b2 42 0d 06 d1 b3 f5 0d 80 3f 08 d3 0d b3 f5 00 3f 0d 0c d2 27 e0 0d aa 68 ea b1 0d b3 f5 80 3f 0d 01 d2 9b 0b 0d 24 e0 b3 f5 0d 00 3f 1d d3 0d 93 42 01 d2 0d 5b 0c 1c e0 0d 02 f5 80 36 0d b3 42 03 d2 0d 9b 1a 9b 0b 0d 10 33 15 e0 0d 02 f5 00 37 0d bb 42 38 bf 0d a0 23 10 d3 0d 9b 1a 5b 0c 0d 14 33 0b e0 0d b3 f5 00 3f 0d 38 bf db 0b 0d 06 d3 b3 f5 0d 80 2f 01 d2 0d 20 23 02 e0 0d 9b 0c 1b 1d 0d db 00 2a 78 0d 72 b1 01 44 0d 88 42 3e d2 0d 88 42 3c d2 0d 02 68 44 68 0d 86 68 c7 68 0d 10 30 22 40 0d 32 40 7f 1c 0d 3a 42 f3 d0 0d 2f 4c 43 f0 0d 02 03 60 68 0d 03 43 63 60 0d 61 68 41 f4 0d 80 31 61 60 0d bf f3 4f 8f 0d 68 78 ff 21 0d 1f 4a 09 e0 0d 40 b1 13 68 0d 55 68 03 f0 0d 7f 03 05 f0 0d 7f 05 ab 42 0d 38 bf 11 60 0d 23 68 dd 03 0d f2 d4 60 68 0d 20 f0 7a 00
Input Report,05 65 01
Output Report,06 00 7d 00 0d 60 60 22 68 12 f0 f0 0f 0d d0 1a 4d 2b a1 e8 68 00 f0 78 f8 22 68 d1 06 03 d5 e8 68 2b a1 00 f0 7d f8 04 20 f2 bd 00 20 f2 bd 0a 48 f3 21 c1 60 09 49 ca 68 02 60 0b 69 03 61 48 78 38 b1 48 69 06 49 00 f0 7f 02 42 f0 80 02 0a 60 48 60 00 20 70 47 00 00 00 3c 02 40 e8 be 03 20 00 2c 00 40 00 20 04 e0 22 7a f0 1f 42 f4 f0 1f 23 01 67 45 ab 89 ef cd 7c be 03 20 5c 00 01 20 20 00 01 20 0c 3c 02 40 2d 2d 78 38 00 00 00 00 2d 2d 78 31 36 00 00 00 2d 2d 78 36 34 00 00 00 2d 2d 73 6b 69 70 5f 65 72 61 73 65 00 00 00 00 57 72 69 74 65 20 66 61 69 6c 65 64 21 00 00 00 45 72 61 73 65 20 66 61 69 6c 65 64 21 00 00 00 20 57 72 69 74 65 20 70 72 6f 74 65 63 74 69 6f 6e 20 65 72 72 6f 72 2e 00 00 00 00 10 f8 01 2b 11 f8 01 3b 0a b1 9a 42 f8 d0 d0 1a 70 47 02 68 53 1c 03 60 11 70 70 47 5f ea 00 0c 11 f8 01 2b 00 f8 01 2b 12 b1 11 f8 01 2b f9 e7 60 46 70 47 03 46 00 e0 5b 1c 1a 78 00 2a fb d1 11 f8 01 cb 83 f8 00 c0 13 f8 01 2b 00 2a f7 d1 70 47 00 00 0c b4 30 b5 83 b0 0a 46 06 a9 02 91 04 46 00 25 01 94 00 95 02 ab 01 a9 08 48 78 44 1e 30 00 f0 1b f8 01 9a 15 70 00 28 4e bf 04 46 01 98 04 1b 20 46 03 b0 30 bc 5d f8 0c fb 00 bf 83 ff ff ff 70 b5 05 46 1c 00 08 46 16 46 04 d0 16 f8 01 1b a8 47 64 1e fa d1 70 bd 2d e9 fc 43 83 b0 81 46 88 46 17 46 1d 46 07 e0 01 23 3a 46 41 46 48 46 ff f7 e6 ff 80 46 7f 1c 38 78 e0 b1 25 28 f3 d1 79 78 bf 1c 25 29 12 d0 58 29 58 d0 63 29 15 d0 64 29 18 bf 69 29 17 d0 6f 29 50 d0 70 29 53 d0 73 29 57 d0 75 29 18 bf 78 29 48 d0 e4 e7 40 46 c8 47 80 46 e0 e7 05 b0
Input Report,06 7d 00 01
Output Report,05 00 65 0d bd e8 f0 83 0d 28 68 50 f8 0d 04 1b 28 60 0d c9 b2 f2 e7 0d 28 68 50 f8 0d 04 6b 28 60 0d 00 2e 03 d5 0d 2d 21 40 46 0d c8 47 80 46 0d 64 21 6f 29 0d 08 bf 08 22 0d 05 d0 41 f0 0d 20 00 78 28 0d 14 bf 0a 22 0d 10 22 0b 24 0d 64 29 30 46 0d 02 d1 00 2e 0d 48 bf 40 42 0d b0 fb f2 fc 0d 02 fb 1c 00 0d 30 30 64 1e 0d c3 b2 3a 2b 0d a4 bf a1 f1 0d 51 06 30 18 0d 0d f8 04 00 0d 5f ea 0c 00 0d 01 d0 00 2c 0d ec dc 0d eb 0d 04 06 d4 f1 0d 0b 04 40 46 0d bf d0 16 f8 0d 01 1b c8 47 0d 64 1e fa d1 0d b9 e7 28 68 0d 50 f8 04 6b 0d 28 60 ca e7 0d 28 68 50 f8 0d 04 6b 28 60 0d 78 21 c4 e7 0d 28 68 50 f8 0d 04 6b 28 60 0d 30 46 00 f0 0d 09 f8 04 00 0d 40 46 a4 d0 0d 16 f8 01 1b 0d c8 47 64 1e 0d fa d1 9e e7 0d 00 f1 01 03 0d 81 07 04 d0 0d 10 f8 01 1b 0d 82 07 81 b1 0d fa d1 02 68 0d a2 f1 01 31 0d 91 43 11 f0 0d 80 31 04 bf 0d 50 f8 04 2f 0d f6 e7 09 ba 0d b1 fa 81 f1 0d 00 eb d1 00 0d 40 1c c0 1a 0d 70 47 00 00 0d ff f7 40 fc 05 00 08 01 20 0d ff f7 80 fc 0d ff f7 4b fc 0d ff f7 7c fc 0d ff f7 51 fc 0d ff f7 78 fc 0d ff f7 6d fc 0d ff f7 74 fc 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00
Input Report,05 65 01
Output Report,05 00 1c 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 0d 00 00 00 00 05 f0 ed 00 e0 0f
Input Report,05 1c 01 03 00 03 03
