Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary
2,HS,549,2:56.524.605,1.150 us,67 B,,03,02,      DATA0 packet,C3 05 00 06 04 00 00 00 50 08 00 00 00 00 01 02 00 00 E3 05 04 20 04 E0 0F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 15 36,
2,HS,550,2:56.524.607,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,551,2:56.524.479,255.166 us,64 B,K,03,04,Input Report,05 06 01 07 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,552,2:56.524.479,255.166 us,64 B,,03,04,   IN txn   [2 POLL],05 06 01 07 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,553,2:56.524.479,125.400 us,,,03,04,      [2 IN-NAK],,
2,HS,554,2:56.524.732,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,555,2:56.524.733,1.150 us,67 B,,03,04,      DATA0 packet,C3 05 06 01 07 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9F 7E,
2,HS,556,2:56.524.734,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,557,2:56.524.980,1.883 us,64 B,K,03,02,Output Report,04 00 64 00 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,558,2:56.524.980,1.883 us,64 B,,03,02,   OUT txn,04 00 64 00 00 00 00 40 00 00 F8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,559,2:56.524.980,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
